lr,epoch,decay,status,acc
0.1,100,0.992,0,0.802069
0.1,100,0.997,0,0.787261
0.05,500,0.997,0,0.825134
0.05,500,0.992,0,0.806332
0.1,300,0.992,0,0.80559
0.1,300,0.997,0,0.805581
0.1,500,0.992,0,0.809104
0.05,1000,0.997,0,0.836108
0.05,1000,0.992,0,0.820191
0.3,1,0.992,0,0.582086
0.3,1,0.997,0,0.581407
0.1,500,0.997,0,0.844929
0.3,100,0.992,0,0.783306
0.3,100,0.997,0,0.77376
0.3,300,0.992,0,0.804877
0.3,300,0.997,0,0.804448
0.05,1500,0.997,0,0.835166
0.1,1000,0.992,0,0.824803
0.05,1500,0.992,0,0.825605
0.1,1000,0.997,0,0.842255
0.3,500,0.992,0,0.793119
0.7,1,0.992,0,0.678688
0.7,1,0.997,0,0.675999
0.3,500,0.997,0,0.820653
0.7,100,0.992,0,0.771142
0.7,100,0.997,0,0.7788010.1,1500,0.992,0,0.837163
0.1,1500,0.997,0,0.844524
0.1,2000,0.9995,0,0.875793
0.1,2000,0.997,0,0.845147
0.1,2000,0.99,0,0.828106
0.1,2000,0.992,0,0.835598
0.1,2000,0.995,0,0.850498
0.1,2000,0.999,0,0.86092
0.3,1000,0.992,0,0.805098
0.3,1000,0.997,0,0.847177
0.3,1500,0.997,0,0.846187
0.3,1500,0.992,0,0.807059
0.7,500,0.997,0,0.832417
0.3,2000,0.992,0,0.812193
0.7,500,0.992,0,0.814375
0.3,2000,0.99,0,0.813669
0.3,2000,0.997,0,0.84783
0.3,2000,0.995,0,0.847418
0.3,2000,0.9995,0,0.831681
0.3,2000,0.999,0,0.874317
0.7,1000,0.997,0,0.85426
0.7,1000,0.992,0,0.828243
0.7,1500,0.992,0,0.831436
0.7,1500,0.997,0,0.857205
0.75,500,0.99,0,0.841313
0.75,500,0.992,0,0.825081
0.75,500,0.995,0,0.851389
0.7,2000,0.99,0,0.853425
0.7,2000,0.997,0,0.855402
0.7,2000,0.992,0,0.831386
0.75,500,0.997,0,0.826026
0.75,500,0.999,0,0.793164
0.7,2000,0.995,0,0.860595
0.7,2000,0.9995,0,0.864956
0.75,500,0.9995,0,0.825349
0.7,2000,0.999,0,0.860932
0.75,1000,0.99,0,0.853023
0.75,1000,0.992,0,0.830804
0.75,1000,0.999,0,0.849481
0.75,1000,0.995,0,0.855482
0.75,1000,0.997,0,0.873134
0.75,1000,0.9995,0,0.83809
0.75,1500,0.99,0,0.852853
0.75,1500,0.992,0,0.834209
0.75,1500,0.9995,0,0.840475
0.75,1500,0.997,0,0.871107
0.75,1500,0.995,0,0.861913
0.75,1500,0.999,0,0.876297
0.75,2000,0.992,0,0.834564
0.75,2000,0.99,0,0.851801
0.75,2000,0.997,0,0.867556
0.75,2000,0.995,0,0.86625
0.75,2000,0.999,0,0.887315
0.75,2000,0.9995,0,0.84644
